canonical_ref,chapter,verse,speaker,devanagari,iast,english_telang,review_status,checksum
"gita.1.1","1","1","Dhritarashtra","धृतराष्ट्र उवाच।
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः।
मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ॥","dhṛtarāṣṭra uvāca
dharmakṣetre kurukṣetre samavetā yuyutsavaḥ
māmakāḥ pāṇḍavāścaiva kimakurvata sañjaya","What did my (people) and the Pāṇḍavas do, O Sañjaya! when they assembled together on the holy field of Kurukṣetra , desirous to do battle?","machine-aligned; two human reviews pending","0f6ece3b971831356f6d814e63b8fe8d6f0c28998831b58f046accf3a8e52a07"
"gita.1.2","1","2","Sanjaya","सञ्जय उवाच।
दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा।
आचार्यमुपसंगम्य राजा वचनमब्रवीत् ॥","sañjaya uvāca
dṛṣṭvā tu pāṇḍavānīkaṃ vyūḍhaṃ duryodhanastadā
ācāryamupasaṃgamya rājā vacanamabravīt","Seeing the army of the Pāṇḍavas drawn up in battle-array the prince Duryodhana approached the preceptor","machine-aligned; two human reviews pending","c78c6ab675cd427dd7c2db83b586685a09a244e50f0e74dd18a458f6a8fcb16b"
"gita.1.3","1","3","Sanjaya","पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम्।
व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥","paśyaitāṃ pāṇḍuputrāṇāmācārya mahatīṃ camūm
vyūḍhāṃ drupadaputreṇa tava śiṣyeṇa dhīmatā","and spoke (these) words: 'O preceptor! observe this grand army of the sons of Pāṇḍu drawn up in battle-array by your talented pupil the son of Drupada. In it are heroes (bearing) large bows","machine-aligned; two human reviews pending","01be20a6af460e216ce9062546557f68e23340ca083b9e09b2e26320231275a4"
"gita.1.4","1","4","Sanjaya","अत्र शूरा महेष्वासा भीमार्जुनसमा युधि।
युयुधानो विराटश्च द्रुपदश्च महारथः ॥","atra śūrā maheṣvāsā bhīmārjunasamā yudhi
yuyudhāno virāṭaśca drupadaśca mahārathaḥ","the equals of Bhīma and Arjuna in battle—(namely) Yuyudhāna Virāṭa and Drupada the master of a great car and Dhṛṣṭaketu","machine-aligned; two human reviews pending","dd7bc6a54c3bf339ef9031cca62a0a6c7fb5baf10f47bd09441b4c3eb7cab8d1"
"gita.1.5","1","5","Sanjaya","धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान्।
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः ॥","dhṛṣṭaketuścekitānaḥ kāśirājaśca vīryavān
purujitkuntibhojaśca śaibyaśca narapuṃgavaḥ","Cekitāna and the valiant king of Kāsī Purujit and Kuntibhoja","machine-aligned; two human reviews pending","37ee519a8a8963533014c93b0acaebc937e2bd4641ed06d8a535271f528407ec"
"gita.1.6","1","6","Sanjaya","युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान्।
सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ॥","yudhāmanyuśca vikrānta uttamaujāśca vīryavān
saubhadro draupadeyāśca sarva eva mahārathāḥ","and that eminent man Śaibya the heroic Yudhāmanyu, the valiant Uttamaujas, the son of Subhadrā , and the sons of Draupadī—all masters of great cars. And now, O best of Brāhmaṇas!","machine-aligned; two human reviews pending","486dcf520347e0e5c6f13be8e5928d4c2ccd71ef5fbeecf0965f9a8b7aad02b8"
"gita.1.7","1","7","Sanjaya","अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम।
नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ॥","asmākaṃ tu viśiṣṭā ye tānnibodha dvijottama
nāyakā mama sainyasya saṃjñārthaṃ tānbravīmi te","learn who are most distinguished among us, and are leaders of my army. I will name them to you, in order that you may know them well. Yourself, and Bhīṣma, and Karṇa , and Kṛpa the victor of (many) battles Aśvatthāman","machine-aligned; two human reviews pending","45b5c2c84a99901fb76cb218b4915087c4fa7e9a48b58c316eca69f62d6cd8b4"
"gita.1.8","1","8","Sanjaya","भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः।
अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥","bhavānbhīṣmaśca karṇaśca kṛpaśca samitiñjayaḥ
aśvatthāmā vikarṇaśca saumadattistathaiva ca","and Vikarṇa and also the son of Somadatta","machine-aligned; two human reviews pending","e58ade1e161b9c41ddf36904aea774e3d6d832d1e49f8210c1a2b6c9de0f7614"
"gita.1.9","1","9","Sanjaya","अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः।
नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ॥","anye ca bahavaḥ śūrā madarthe tyaktajīvitāḥ
nānāśastrapraharaṇāḥ sarve yuddhaviśāradāḥ","and many other brave men who have given up their lives for me who fight with various weapons, (and are) all dexterous in battle.","machine-aligned; two human reviews pending","0c30014f6166f33872509e3519fd320af2d9a54b9e64db8e0777c5c5f7170da5"
"gita.1.10","1","10","Sanjaya","अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम्।
पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥","aparyāptaṃ tadasmākaṃ balaṃ bhīṣmābhirakṣitam
paryāptaṃ tvidameteṣāṃ balaṃ bhīmābhirakṣitam","Thus our army which is protected by Bhīṣma is unlimited","machine-aligned; two human reviews pending","6ac58488737679d3f7d69e4f85a50234b2f0f416f2246581241a89270632a06a"
